"WTMEC2YR.Code.or.Value","WTMEC2YR.Value.Description","WTMEC2YR.Count","WTMEC2YR.Cumulative","WTMEC2YR.Skip.to.Item"
"0 to 192770.73006","Range of Values",10149,10149,NA
".","Missing",0,10149,NA
