"DSQTCOPP.Code.or.Value","DSQTCOPP.Value.Description","DSQTCOPP.Count","DSQTCOPP.Cumulative","DSQTCOPP.Skip.to.Item"
"0.0042 to 8.4","Range of Values",1350,1350,NA
".","Missing",8621,9971,NA
