"DEQ1BPOT.Code.or.Value","DEQ1BPOT.Value.Description","DEQ1BPOT.Count","DEQ1BPOT.Cumulative","DEQ1BPOT.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
