"WTSBA01.Code.or.Value","WTSBA01.Value.Description","WTSBA01.Count","WTSBA01.Cumulative","WTSBA01.Skip.to.Item"
"0 to 360153.38487","Range of Values",946,946,NA
".","Missing",65,1011,NA
