"LBXTFR.Code.or.Value","LBXTFR.Value.Description","LBXTFR.Count","LBXTFR.Cumulative","LBXTFR.Skip.to.Item"
"1.1 to 28.6","Range of Values",3025,3025,NA
".","Missing",885,3910,NA
