"RFXT075.Code.or.Value","RFXT075.Value.Description","RFXT075.Count","RFXT075.Cumulative","RFXT075.Skip.to.Item"
"646 to 654","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
