"PAQ620.Code.or.Value","PAQ620.Value.Description","PAQ620.Count","PAQ620.Cumulative","PAQ620.Skip.to.Item"
"1","Yes",2065,2065,""
"2","No",4712,6777,"PAQ635"
"7","Refused",1,6778,"PAQ635"
"9","Don't know",1,6779,"PAQ635"
".","Missing",2328,9107,""
