"DSD128MM.Code.or.Value","DSD128MM.Value.Description","DSD128MM.Count","DSD128MM.Cumulative","DSD128MM.Skip.to.Item"
"47","HEADACHES AND DIZZINESS",16,16,NA
".","Missing",9543,9559,NA
