"LBXD07LA.Code.or.Value","LBXD07LA.Value.Description","LBXD07LA.Count","LBXD07LA.Cumulative","LBXD07LA.Skip.to.Item"
"25.7 to 3280","Range of Values",1851,1851,NA
".","Missing",434,2285,NA
