"BIXC011K.Code.or.Value","BIXC011K.Value.Description","BIXC011K.Count","BIXC011K.Cumulative","BIXC011K.Skip.to.Item"
"17.84 to 429.33","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
