"DR2IM181.Code.or.Value","DR2IM181.Value.Description","DR2IM181.Count","DR2IM181.Cumulative","DR2IM181.Skip.to.Item"
"0 to 98.681","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
