"LBXVCM.Code.or.Value","LBXVCM.Value.Description","LBXVCM.Count","LBXVCM.Cumulative","LBXVCM.Skip.to.Item"
"0.4384 to 60","Range of Values",3122,3122,NA
".","Missing",423,3545,NA
