"LBC110LA.Code.or.Value","LBC110LA.Value.Description","LBC110LA.Count","LBC110LA.Cumulative","LBC110LA.Skip.to.Item"
"0.09 to 1.14","Range of Values",247,247,NA
".","Missing",0,247,NA
