"LBCBB1LA.Code.or.Value","LBCBB1LA.Value.Description","LBCBB1LA.Count","LBCBB1LA.Cumulative","LBCBB1LA.Skip.to.Item"
"0.2 to 135","Range of Values",247,247,NA
".","Missing",0,247,NA
