"LBC118LA.Code.or.Value","LBC118LA.Value.Description","LBC118LA.Count","LBC118LA.Cumulative","LBC118LA.Skip.to.Item"
"1.037 to 54.64","Range of Values",298,298,NA
".","Missing",3,301,NA
