"AUXRR115.Code.or.Value","AUXRR115.Value.Description","AUXRR115.Count","AUXRR115.Cumulative","AUXRR115.Skip.to.Item"
"-29 to 48","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
