"OPDDMACH.Code.or.Value","OPDDMACH.Value.Description","OPDDMACH.Count","OPDDMACH.Cumulative","OPDDMACH.Skip.to.Item"
"0","No",3147,3147,NA
"1","Questionable",8,3155,NA
"2","Yes",4,3159,NA
".","Missing",704,3863,NA
