"PAQ670.Code.or.Value","PAQ670.Value.Description","PAQ670.Count","PAQ670.Cumulative","PAQ670.Skip.to.Item"
"1 to 7","Range of Values",2658,2658,""
"77","Refused",0,2658,"PAD680"
"99","Don't know",3,2661,"PAD680"
".","Missing",6698,9359,""
