"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"55 to 600","Range of Values",4811,4811,NA
"7777","Refused",4,4815,NA
"9999","Don't know",209,5024,NA
".","Missing",1440,6464,NA
