"DSDSUPP.Code.or.Value","DSDSUPP.Value.Description","DSDSUPP.Count","DSDSUPP.Cumulative","DSDSUPP.Skip.to.Item"
"Supplement name","Value was recorded",9042,9042,NA
"7777","Refused",9,9051,NA
"9999","Don't know",22,9073,NA
"< blank >","Missing",0,9073,NA
