"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"1.77 to 269.08","Range of Values",2986,2986,NA
".","Missing",281,3267,NA
