"LEARBUN.Code.or.Value","LEARBUN.Value.Description","LEARBUN.Count","LEARBUN.Cumulative","LEARBUN.Skip.to.Item"
"1","Yes",368,368,NA
"2","No",2265,2633,NA
"8","Could not obtain",6,2639,NA
".","Missing",236,2875,NA
