"DRD360.Code.or.Value","DRD360.Value.Description","DRD360.Count","DRD360.Cumulative","DRD360.Skip.to.Item"
"1","Yes",5289,5289,""
"2","No",2885,8174,"End of Section"
"7","Refused",19,8193,"End of Section"
"9","Don't know",47,8240,"End of Section"
".","Missing",1098,9338,""
