"DR2TVK.Code.or.Value","DR2TVK.Value.Description","DR2TVK.Count","DR2TVK.Cumulative","DR2TVK.Skip.to.Item"
"0 to 22805.3","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
