"DSQIVB2.Code.or.Value","DSQIVB2.Value.Description","DSQIVB2.Count","DSQIVB2.Cumulative","DSQIVB2.Skip.to.Item"
"0.001 to 200","Range of Values",2090,2090,NA
".","Missing",7027,9117,NA
