"DR1TFIBE.Code.or.Value","DR1TFIBE.Value.Description","DR1TFIBE.Count","DR1TFIBE.Cumulative","DR1TFIBE.Skip.to.Item"
"0 to 147.6","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
