"URXCOXT.Code.or.Value","URXCOXT.Value.Description","URXCOXT.Count","URXCOXT.Cumulative","URXCOXT.Skip.to.Item"
"1.43 to 3840","Range of Values",977,977,NA
".","Missing",1485,2462,NA
