"DS2TCALC.Code.or.Value","DS2TCALC.Value.Description","DS2TCALC.Count","DS2TCALC.Cumulative","DS2TCALC.Skip.to.Item"
"1.5 to 4166","Range of Values",1892,1892,NA
".","Missing",7870,9762,NA
