"MCQ092.Code.or.Value","MCQ092.Value.Description","MCQ092.Count","MCQ092.Cumulative","MCQ092.Skip.to.Item"
"1","Yes",824,824,""
"2","No",7516,8340,"MCQ140"
"7","Refused",0,8340,"MCQ140"
"9","Don't know",95,8435,"MCQ140"
".","Missing",1231,9666,""
