"WBXP088.Code.or.Value","WBXP088.Value.Description","WBXP088.Count","WBXP088.Cumulative","WBXP088.Skip.to.Item"
"-174.7548 to 176.8625","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
