"BAQ020A.Code.or.Value","BAQ020A.Value.Description","BAQ020A.Count","BAQ020A.Cumulative","BAQ020A.Skip.to.Item"
"1","Yes",628,628,"BAQ030a"
"2","No",194,822,""
"7","Refused",0,822,""
"9","Don't know",0,822,""
".","Missing",2363,3185,""
