"DR1IP226.Code.or.Value","DR1IP226.Value.Description","DR1IP226.Count","DR1IP226.Cumulative","DR1IP226.Skip.to.Item"
"0 to 4.231","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
