"URDMIBLC.Code.or.Value","URDMIBLC.Value.Description","URDMIBLC.Count","URDMIBLC.Cumulative","URDMIBLC.Skip.to.Item"
"0","At or above the detection limit",2495,2495,NA
"1","Below lower detection limit",53,2548,NA
".","Missing",90,2638,NA
