"DR2TCHL.Code.or.Value","DR2TCHL.Value.Description","DR2TCHL.Count","DR2TCHL.Cumulative","DR2TCHL.Skip.to.Item"
"0 to 1461.9","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
