"OCQ560.Code.or.Value","OCQ560.Value.Description","OCQ560.Count","OCQ560.Cumulative","OCQ560.Skip.to.Item"
"0 to 60","Range of Values",1407,1407,NA
"7777","Refused",0,1407,NA
"9999","Don't know",3,1410,NA
".","Missing",5479,6889,NA
