"DR2STY.Code.or.Value","DR2STY.Value.Description","DR2STY.Count","DR2STY.Cumulative","DR2STY.Skip.to.Item"
"1","Yes",1080,1080,""
"2","No",5961,7041,"DR2TKCAL"
"9","Don't know",30,7071,"DR2TKCAL"
".","Missing",2473,9544,""
