"DS1ICARB.Code.or.Value","DS1ICARB.Value.Description","DS1ICARB.Count","DS1ICARB.Cumulative","DS1ICARB.Skip.to.Item"
"0.1 to 76","Range of Values",1087,1087,NA
".","Missing",4607,5694,NA
