"RHQ460Q.Code.or.Value","RHQ460Q.Value.Description","RHQ460Q.Count","RHQ460Q.Cumulative","RHQ460Q.Skip.to.Item"
"1 to 36","Range of Values",1801,1801,NA
"77","Refused",0,1801,NA
"99","Don't know",14,1815,NA
".","Missing",1669,3484,NA
