"DCQ160.Code.or.Value","DCQ160.Value.Description","DCQ160.Count","DCQ160.Cumulative","DCQ160.Skip.to.Item"
"1","Smooth and Cleanable",272,272,NA
"2","Not Smooth and Cleanable",23,295,NA
"3","Carpet",87,382,NA
".","Missing",885,1267,NA
