"LBDFOT.Code.or.Value","LBDFOT.Value.Description","LBDFOT.Count","LBDFOT.Cumulative","LBDFOT.Skip.to.Item"
"1.35 to 140","Range of Values",7459,7459,NA
".","Missing",1497,8956,NA
