"DXXTSBMD.Code.or.Value","DXXTSBMD.Value.Description","DXXTSBMD.Count","DXXTSBMD.Cumulative","DXXTSBMD.Skip.to.Item"
"0.363 to 1.334","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
