"MGXH2T3E.Code.or.Value","MGXH2T3E.Value.Description","MGXH2T3E.Count","MGXH2T3E.Cumulative","MGXH2T3E.Skip.to.Item"
"1","Maximal",6943,6943,NA
"2","Questionable",116,7059,NA
".","Missing",762,7821,NA
