"DR2CCMTX.Code.or.Value","DR2CCMTX.Value.Description","DR2CCMTX.Count","DR2CCMTX.Cumulative","DR2CCMTX.Skip.to.Item"
"0","Non-combination food",66724,66724,NA
"1","Beverage w/ additions",8518,75242,NA
"2","Cereal w/ additions",5206,80448,NA
"3","Bread/baked products w/ additions",4651,85099,NA
"4","Salad",4421,89520,NA
"5","Sandwiches",11723,101243,NA
"6","Soup",519,101762,NA
"7","Frozen meals",30,101792,NA
"8","Ice cream/frozen yogurt w/ additions",286,102078,NA
"9","Dried beans and vegetable w/ additions",3050,105128,NA
"10","Fruit w/ additions",493,105621,NA
"11","Tortilla products",1048,106669,NA
"12","Meat, poultry, fish",1842,108511,NA
"13","LunchablesÂ®",103,108614,NA
"14","Chips w/ additions",359,108973,NA
"90","Other mixtures",3128,112101,NA
".","Missing",0,112101,NA
