"URXMMI.Code.or.Value","URXMMI.Value.Description","URXMMI.Count","URXMMI.Cumulative","URXMMI.Skip.to.Item"
"0.07 to 0.77","Range of Values",2379,2379,NA
".","Missing",233,2612,NA
