"WHD050.Code.or.Value","WHD050.Value.Description","WHD050.Count","WHD050.Cumulative","WHD050.Skip.to.Item"
"55 to 415","Range of Values",6121,6121,NA
"7777","Refused",2,6123,NA
"9999","Don't know",56,6179,NA
".","Missing",34,6213,NA
