"BIXS649K.Code.or.Value","BIXS649K.Value.Description","BIXS649K.Count","BIXS649K.Cumulative","BIXS649K.Skip.to.Item"
"60.66 to 1041.63","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
