"DRD370QQ.Code.or.Value","DRD370QQ.Value.Description","DRD370QQ.Count","DRD370QQ.Cumulative","DRD370QQ.Skip.to.Item"
"1 to 8","Range of Values",83,83,NA
".","Missing",10170,10253,NA
