"ENXTR1Q.Code.or.Value","ENXTR1Q.Value.Description","ENXTR1Q.Count","ENXTR1Q.Cumulative","ENXTR1Q.Skip.to.Item"
"5 to 218","Range of Values",5585,5585,NA
".","Missing",2158,7743,NA
