"DR2_320Z.Code.or.Value","DR2_320Z.Value.Description","DR2_320Z.Count","DR2_320Z.Cumulative","DR2_320Z.Skip.to.Item"
"0 to 11376","Range of Values",7838,7838,NA
".","Missing",1924,9762,NA
