"DRD350G.Code.or.Value","DRD350G.Value.Description","DRD350G.Count","DRD350G.Cumulative","DRD350G.Skip.to.Item"
"1","Yes",462,462,""
"2","No",4019,4481,"DRD350H"
".","Missing",5772,10253,""
