"WBXF022.Code.or.Value","WBXF022.Value.Description","WBXF022.Count","WBXF022.Cumulative","WBXF022.Skip.to.Item"
"686.9768 to 686.9768","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
