"DR2ILYCO.Code.or.Value","DR2ILYCO.Value.Description","DR2ILYCO.Count","DR2ILYCO.Cumulative","DR2ILYCO.Skip.to.Item"
"0 to 207384","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
