"LBDPDTLC.Code.or.Value","LBDPDTLC.Value.Description","LBDPDTLC.Count","LBDPDTLC.Cumulative","LBDPDTLC.Skip.to.Item"
"0","At or above the detection limit",240,240,NA
"1","Below lower detection limit",11,251,NA
".","Missing",0,251,NA
