"VTQ230B.Code.or.Value","VTQ230B.Value.Description","VTQ230B.Count","VTQ230B.Cumulative","VTQ230B.Skip.to.Item"
"1","Yes",357,357,NA
"2","No",2944,3301,NA
"7","Refused",0,3301,NA
"9","Don't know",38,3339,NA
".","Missing",406,3745,NA
