"LBXPFDO.Code.or.Value","LBXPFDO.Value.Description","LBXPFDO.Count","LBXPFDO.Cumulative","LBXPFDO.Skip.to.Item"
"0.14 to 3","Range of Values",2120,2120,NA
".","Missing",203,2323,NA
