"BIXS723K.Code.or.Value","BIXS723K.Value.Description","BIXS723K.Count","BIXS723K.Cumulative","BIXS723K.Skip.to.Item"
"59.68 to 1232.4","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
