"DR2ITFAT.Code.or.Value","DR2ITFAT.Value.Description","DR2ITFAT.Count","DR2ITFAT.Cumulative","DR2ITFAT.Skip.to.Item"
"0 to 264.35","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
