"WBXP084.Code.or.Value","WBXP084.Value.Description","WBXP084.Count","WBXP084.Cumulative","WBXP084.Skip.to.Item"
"-179.5358 to 177.7726","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
