"URXEMM.Code.or.Value","URXEMM.Value.Description","URXEMM.Count","URXEMM.Cumulative","URXEMM.Skip.to.Item"
"0.071 to 0.77","Range of Values",2321,2321,NA
".","Missing",291,2612,NA
