"WTSPH28.Code.or.Value","WTSPH28.Value.Description","WTSPH28.Count","WTSPH28.Cumulative","WTSPH28.Skip.to.Item"
"0 to 800311.10032","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
