"DSQIFA.Code.or.Value","DSQIFA.Value.Description","DSQIFA.Count","DSQIFA.Cumulative","DSQIFA.Skip.to.Item"
"4 to 2000","Range of Values",2854,2854,NA
".","Missing",6263,9117,NA
