"WBXF038.Code.or.Value","WBXF038.Value.Description","WBXF038.Count","WBXF038.Cumulative","WBXF038.Skip.to.Item"
"1090.5077 to 1090.5077","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
