"DRD370JQ.Code.or.Value","DRD370JQ.Value.Description","DRD370JQ.Count","DRD370JQ.Cumulative","DRD370JQ.Skip.to.Item"
"1 to 2","Range of Values",8,8,NA
".","Missing",9754,9762,NA
