"LEARAPNC.Code.or.Value","LEARAPNC.Value.Description","LEARAPNC.Count","LEARAPNC.Cumulative","LEARAPNC.Skip.to.Item"
"1","Yes",45,45,NA
"2","No",231,276,NA
"8","Could not obtain",0,276,NA
".","Missing",2810,3086,NA
